"ID" "gender" "exam" "scores"
"1" 1 "f" 1 45
"2" 1 "f" 2 33
"3" 1 "f" 3 29.5
"4" 2 "f" 1 44
"5" 2 "f" 2 33
"6" 2 "f" 3 27
"7" 3 "f" 1 44
"8" 3 "f" 2 40
"9" 3 "f" 3 44.5
"10" 4 "m" 1 37
"11" 4 "m" 2 39
"12" 4 "m" 3 34
"13" 5 "f" 1 47
"14" 5 "f" 2 46
"15" 5 "f" 3 45.5
"16" 6 "m" 1 45
"17" 6 "m" 2 42
"18" 6 "m" 3 39.5
"19" 7 "m" 1 46
"20" 7 "m" 2 38.5
"21" 7 "m" 3 42
"22" 8 "m" 1 40.5
"23" 8 "m" 2 36
"24" 8 "m" 3 30.5
"25" 9 "f" 1 33.5
"26" 9 "f" 2 42.5
"27" 9 "f" 3 41
"28" 10 "f" 1 39
"29" 10 "f" 2 19.5
"30" 10 "f" 3 32
"31" 11 "m" 1 39
"32" 11 "m" 2 40
"33" 11 "m" 3 48
"34" 12 "m" 1 45
"35" 12 "m" 2 30
"36" 12 "m" 3 40
"37" 13 "m" 1 46.5
"38" 13 "m" 2 48
"39" 13 "m" 3 44
"40" 14 "f" 1 49
"41" 14 "f" 2 42.5
"42" 14 "f" 3 47
